,price,typ,lat,lon,beds,baths,sqft,zip code,locality,solddate
"26 Tulip Rd Mahopac, NY 10541","$515,000",SingleFamilyResidence,41.364925,-73.736572,4bd,Error,Error,10541,Mahopac,"JUN 29, 2022"
"15 Fairweather Dr Norwalk, CT 06851","$555,000",SingleFamilyResidence,41.131489,-73.400864,3bd,Error,Error,06851,Norwalk,"JUN 29, 2022"
"28 Cobblers Ln Norwalk, CT 06851","$515,000",SingleFamilyResidence,41.148979,-73.421432,3bd,Error,Error,06851,Norwalk,"JUN 29, 2022"
"29 Cedar Crest Pl Norwalk, CT 06854","$470,000",SingleFamilyResidence,41.107216,-73.434029,3bd,Error,Error,06854,Norwalk,"JUN 29, 2022"
"7 White Birch Ct Norwalk, CT 06851","$538,000",SingleFamilyResidence,41.121452,-73.383789,3bd,Error,Error,06851,Norwalk,"JUN 29, 2022"
"10 Elmcrest Dr Danbury, CT 06811","$605,000",SingleFamilyResidence,41.403244,-73.513054,4bd,Error,Error,06811,Danbury,"JUN 29, 2022"
"3806 Indian Hill Rd Shrub Oak, NY 10588","$620,000",SingleFamilyResidence,41.335709,-73.808716,2bd,Error,Error,10588,Shrub Oak,"JUN 29, 2022"
"136 Putnam Park Rd Bethel, CT 06801","$460,000",SingleFamilyResidence,41.347618,-73.383537,4bd,Error,Error,06801,Bethel,"JUN 29, 2022"
"53 Quaker Ridge Rd Bethel, CT 06801","$520,000",SingleFamilyResidence,41.398129,-73.398911,4bd,Error,Error,06801,Bethel,"JUN 29, 2022"
"11 Park Ave Ossining, NY 10562","$550,000",SingleFamilyResidence,41.168053,-73.850647,3bd,Error,Error,10562,Ossining,"JUN 29, 2022"
"1 Primrose Dr Katonah, NY 10536","$685,000",SingleFamilyResidence,41.302086,-73.715981,4bd,Error,Error,10536,Katonah,"JUN 29, 2022"
"150 Babbitt Rd Bedford Hills, NY 10507","$606,000",SingleFamilyResidence,41.23814,-73.691795,3bd,Error,Error,10507,Bedford Hills,"JUN 29, 2022"
"581 Wood Rd Mahopac, NY 10541","$675,000",SingleFamilyResidence,41.418598,-73.732903,3bd,Error,Error,10541,Mahopac,"JUN 29, 2022"
"103 High View Dr Carmel, NY 10512","$660,000",SingleFamilyResidence,41.454426,-73.644386,3bd,Error,Error,10512,Carmel,"JUN 29, 2022"
"23 Split Rock Rd Newtown, CT 06470","$679,000",SingleFamilyResidence,41.335953,-73.32518,5bd,Error,Error,06470,Newtown,"JUN 29, 2022"
"136 Thunder Hill Dr Stamford, CT 06902","$695,000",SingleFamilyResidence,41.097939,-73.587311,3bd,Error,Error,06902,Stamford,"JUN 29, 2022"
"860 Warren Ave Thornwood, NY 10594","$690,000",SingleFamilyResidence,41.121098,-73.779099,3bd,Error,Error,10594,Thornwood,"JUN 28, 2022"
"168 Hillcrest Rd Fairfield, CT 06824","$450,000",SingleFamilyResidence,41.145508,-73.255867,3bd,Error,Error,06824,Fairfield,"JUN 28, 2022"
"16 Esquire Rd Norwalk, CT 06851","$640,000",SingleFamilyResidence,41.133347,-73.410248,3bd,Error,Error,06851,Norwalk,"JUN 28, 2022"
"103 Marian Rd Fairfield, CT 06825","$620,000",SingleFamilyResidence,41.192471,-73.240822,3bd,Error,Error,06825,Fairfield,"JUN 28, 2022"
"141 Boggs Hill Rd Newtown, CT 06470","$580,000",SingleFamilyResidence,41.372448,-73.319603,3bd,Error,Error,06470,Newtown,"JUN 28, 2022"
"227 Ravencrest Rd Yorktown Heights, NY 10598","$475,000",SingleFamilyResidence,41.320053,-73.786926,3bd,Error,Error,10598,Yorktown Heights,"JUN 28, 2022"
"309 Round Hill Rd Fairfield, CT 06824","$665,000",SingleFamilyResidence,41.149006,-73.255005,3bd,Error,Error,06824,Fairfield,"JUN 28, 2022"
"440 Gage Rd Brewster, NY 10509","$605,000",SingleFamilyResidence,41.443504,-73.549911,3bd,Error,Error,10509,Brewster,"JUN 27, 2022"
"25 Albin Rd Carmel, NY 10512","$547,500",SingleFamilyResidence,41.40826,-73.716042,3bd,Error,Error,10512,Carmel,"JUN 27, 2022"
"5 Locust Ct Mahopac, NY 10541","$450,000",SingleFamilyResidence,41.370743,-73.747795,2bd,Error,Error,10541,Mahopac,"JUN 27, 2022"
"360 Bear Ridge Rd Pleasantville, NY 10570","$700,000",SingleFamilyResidence,41.135937,-73.764465,2bd,Error,Error,10570,Pleasantville,"JUN 27, 2022"
"183 Elwood Ave Hawthorne, NY 10532","$543,000",SingleFamilyResidence,41.09935,-73.79348,2bd,Error,Error,10532,Hawthorne,"JUN 27, 2022"
"48 Putnam Park Rd Redding, CT 06896","$570,000",SingleFamilyResidence,41.334213,-73.380806,4bd,Error,Error,06896,Redding,"JUN 27, 2022"
"440 Gage Rd Brewster, NY 10509","$605,000",SingleFamilyResidence,41.443504,-73.549911,3bd,Error,Error,10509,Brewster,"JUN 27, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"18 Abbott Ave Ridgefield, CT 06877","$500,000",SingleFamilyResidence,41.283783,-73.503311,2bd,Error,Error,06877,Ridgefield,"JUN 27, 2022"
"18 Griffing Ave Danbury, CT 06810","$455,000",SingleFamilyResidence,41.402367,-73.45047,6bd,Error,Error,06810,Danbury,"JUN 27, 2022"
"3 Royal Pine Dr Danbury, CT 06811","$483,300",SingleFamilyResidence,41.429329,-73.428047,3bd,Error,Error,06811,Danbury,"JUN 27, 2022"
"24 Kristy Dr Bethel, CT 06801","$672,000",SingleFamilyResidence,41.404522,-73.373032,4bd,Error,Error,06801,Bethel,"JUN 27, 2022"
"158 Walnut Tree Hill Rd Sandy Hook, CT 06482","$460,000",SingleFamilyResidence,41.443417,-73.274567,4bd,Error,Error,06482,Sandy Hook,"JUN 27, 2022"
"32 Overlook Pl Trumbull, CT 06611","$459,000",SingleFamilyResidence,41.282841,-73.227646,3bd,Error,Error,06611,Trumbull,"JUN 27, 2022"
"55 Brion Dr Fairfield, CT 06825","$590,000",SingleFamilyResidence,41.206512,-73.227852,3bd,Error,Error,06825,Fairfield,"JUN 27, 2022"
"222 Mountain Rd Ridgefield, CT 06877","$515,000",SingleFamilyResidence,41.343372,-73.497299,4bd,Error,Error,06877,Ridgefield,"JUN 27, 2022"
"33 Old Bethel Rd Newtown, CT 06470","$540,000",SingleFamilyResidence,41.410172,-73.368164,4bd,Error,Error,06470,Newtown,"JUN 27, 2022"
"4 Salem Ln South Salem, NY 10590","$695,000",SingleFamilyResidence,41.277271,-73.549438,3bd,Error,Error,10590,South Salem,"JUN 26, 2022"
"1762 French Hill Rd Yorktown Heights, NY 10598","$610,000",SingleFamilyResidence,41.268417,-73.788353,3bd,Error,Error,10598,Yorktown Heights,"JUN 24, 2022"
"3000 Black Rock Tpke Fairfield, CT 06825","$605,000",SingleFamilyResidence,41.191605,-73.258072,3bd,Error,Error,06825,Fairfield,"JUN 24, 2022"
"42 Tanglewood Dr Danbury, CT 06811","$655,000",SingleFamilyResidence,41.403049,-73.527046,4bd,Error,Error,06811,Danbury,"JUN 24, 2022"
"32 Satterlee Rd New Fairfield, CT 06812","$470,000",SingleFamilyResidence,41.472446,-73.52697,4bd,Error,Error,06812,New Fairfield,"JUN 24, 2022"
"424 Smith Ridge Rd South Salem, NY 10590","$585,000",SingleFamilyResidence,41.208534,-73.512764,3bd,Error,Error,10590,South Salem,"JUN 24, 2022"
"95 Cobb Rd Brewster, NY 10509","$575,000",SingleFamilyResidence,41.380222,-73.585716,3bd,Error,Error,10509,Brewster,"JUN 24, 2022"
"20 Edice Rd Stamford, CT 06905","$655,000",SingleFamilyResidence,41.080086,-73.54422,3bd,Error,Error,06905,Stamford,"JUN 24, 2022"
"5 General Macarthur Dr Carmel, NY 10512","$470,000",SingleFamilyResidence,41.404305,-73.698029,3bd,Error,Error,10512,Carmel,"JUN 24, 2022"
"33 Highclere Ln Valhalla, NY 10595","$589,000",SingleFamilyResidence,41.089687,-73.78006,2bd,Error,Error,10595,Valhalla,"JUN 24, 2022"
"301 Knapps Hwy Fairfield, CT 06825","$455,000",SingleFamilyResidence,41.183018,-73.23484,3bd,Error,Error,06825,Fairfield,"JUN 24, 2022"
"3 Inas Rd Brookfield, CT 06804","$545,000",SingleFamilyResidence,41.454556,-73.38678,3bd,Error,Error,06804,Brookfield,"JUN 24, 2022"
"78 Hoyts Hl Bethel, CT 06801","$643,000",SingleFamilyResidence,41.371597,-73.399826,4bd,Error,Error,06801,Bethel,"JUN 24, 2022"
"40 Harvester Rd Fairfield, CT 06825","$522,500",SingleFamilyResidence,41.202011,-73.246788,3bd,Error,Error,06825,Fairfield,"JUN 24, 2022"
"5 Nash Pl Norwalk, CT 06854","$615,000",SingleFamilyResidence,41.108788,-73.433937,4bd,Error,Error,06854,Norwalk,"JUN 24, 2022"
"52 Ridgeview Ave Trumbull, CT 06611","$640,000",SingleFamilyResidence,41.26786,-73.230087,4bd,Error,Error,06611,Trumbull,"JUN 24, 2022"
"3 West St Mount Kisco, NY 10549","$665,550",SingleFamilyResidence,41.198574,-73.730446,3bd,Error,Error,10549,Mount Kisco,"JUN 23, 2022"
"291 Ravencrest Rd Yorktown Heights, NY 10598","$645,000",SingleFamilyResidence,41.320389,-73.789528,3bd,Error,Error,10598,Yorktown Heights,"JUN 23, 2022"
"212 Beech Rd Yorktown Heights, NY 10598","$515,000",SingleFamilyResidence,41.30888,-73.78405,3bd,Error,Error,10598,Yorktown Heights,"JUN 23, 2022"
"1158 Underhill Ave Yorktown Heights, NY 10598","$600,000",SingleFamilyResidence,41.253426,-73.811325,3bd,Error,Error,10598,Yorktown Heights,"JUN 23, 2022"
"17 Old Turnpike Rd Brookfield, CT 06804","$495,000",SingleFamilyResidence,41.458412,-73.42263,4bd,Error,Error,06804,Brookfield,"JUN 23, 2022"
"55 Peaceful Valley Rd Trumbull, CT 06611","$662,500",SingleFamilyResidence,41.277496,-73.245056,4bd,Error,Error,06611,Trumbull,"JUN 23, 2022"
"25 Hillwood Pl Norwalk, CT 06850","$665,000",SingleFamilyResidence,41.131756,-73.437813,3bd,Error,Error,06850,Norwalk,"JUN 23, 2022"
"38 Pamela Ln Valhalla, NY 10595","$575,000",SingleFamilyResidence,41.081814,-73.780769,4bd,Error,Error,10595,Valhalla,"JUN 23, 2022"
"618 S Lakeshore Dr Carmel, NY 10512","$560,000",SingleFamilyResidence,41.447987,-73.665009,3bd,Error,Error,10512,Carmel,"JUN 23, 2022"
"888 Sherman Ave Thornwood, NY 10594","$675,000",SingleFamilyResidence,41.122276,-73.779228,3bd,Error,Error,10594,Thornwood,"JUN 23, 2022"
"2 Collyer Dr Ossining, NY 10562","$606,000",SingleFamilyResidence,41.178883,-73.843849,3bd,Error,Error,10562,Ossining,"JUN 23, 2022"
"6 Overton Rd Ossining, NY 10562","$450,000",SingleFamilyResidence,41.160358,-73.856445,2bd,Error,Error,10562,Ossining,"JUN 23, 2022"
"22 Watson Ave Ossining, NY 10562","$672,000",SingleFamilyResidence,41.16534,-73.851997,3bd,Error,Error,10562,Ossining,"JUN 23, 2022"
"17 Old Turnpike Rd Brookfield, CT 06804","$495,000",SingleFamilyResidence,41.458412,-73.42263,4bd,Error,Error,06804,Brookfield,"JUN 23, 2022"
"55 Peaceful Valley Rd Trumbull, CT 06611","$662,500",SingleFamilyResidence,41.277496,-73.245056,4bd,Error,Error,06611,Trumbull,"JUN 23, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"9 Wondy Way Danbury, CT 06811","$500,000",SingleFamilyResidence,41.431732,-73.451012,3bd,Error,Error,06811,Danbury,"JUN 22, 2022"
"113 Nostrand Ave Thornwood, NY 10594","$615,000",SingleFamilyResidence,41.127506,-73.7752,3bd,Error,Error,10594,Thornwood,"JUN 22, 2022"
"41 Glen Forest St Thornwood, NY 10594","$575,000",SingleFamilyResidence,41.116741,-73.769173,4bd,Error,"1,360 sqft (on 0.25 acres)",10594,Thornwood,"JUN 22, 2022"
"14 Budd Dr Bethel, CT 06801","$500,000",SingleFamilyResidence,41.413185,-73.392609,4bd,Error,Error,06801,Bethel,"JUN 22, 2022"
"7 Mayflower Rd Norwalk, CT 06850","$677,000",SingleFamilyResidence,41.142136,-73.452866,3bd,Error,Error,06850,Norwalk,"JUN 22, 2022"
"2697 Evergreen St Yorktown Heights, NY 10598","$685,000",SingleFamilyResidence,41.301266,-73.776344,5bd,Error,Error,10598,Yorktown Heights,"JUN 22, 2022"
"72 Milwaukee Ave Bethel, CT 06801","$460,000",SingleFamilyResidence,41.375526,-73.401146,3bd,Error,Error,06801,Bethel,"JUN 22, 2022"
"43 Hearthstone Dr Bethel, CT 06801","$480,000",SingleFamilyResidence,41.406616,-73.398193,4bd,Error,Error,06801,Bethel,"JUN 22, 2022"
"4 Gilbert St Norwalk, CT 06855","$650,000",SingleFamilyResidence,41.100502,-73.400116,3bd,Error,Error,06855,Norwalk,"JUN 22, 2022"
"65 Fairview Ave Trumbull, CT 06611","$559,000",SingleFamilyResidence,41.240051,-73.236992,4bd,Error,Error,06611,Trumbull,"JUN 22, 2022"
"47 Emma Rd Stamford, CT 06905","$543,000",SingleFamilyResidence,41.09428,-73.5504,3bd,Error,Error,06905,Stamford,"JUN 22, 2022"
"17 Fullmar Ln Norwalk, CT 06850","$485,000",SingleFamilyResidence,41.136448,-73.45118,3bd,Error,Error,06850,Norwalk,"JUN 21, 2022"
"63 Alpine St Stamford, CT 06905","$640,000",SingleFamilyResidence,41.108501,-73.552452,4bd,Error,Error,06905,Stamford,"JUN 21, 2022"
"272 Newtown Ave Norwalk, CT 06851","$660,000",SingleFamilyResidence,41.141754,-73.395271,3bd,Error,Error,06851,Norwalk,"JUN 21, 2022"
"12 Purdum Rd New Fairfield, CT 06812","$470,000",SingleFamilyResidence,41.459919,-73.53273,3bd,Error,Error,06812,New Fairfield,"JUN 21, 2022"
"140 Bennetts Farm Rd Ridgefield, CT 06877","$525,000",SingleFamilyResidence,41.338661,-73.508163,3bd,Error,Error,06877,Ridgefield,"JUN 21, 2022"
"5 Rustic Rd Ridgefield, CT 06877","$610,000",SingleFamilyResidence,41.330994,-73.487885,3bd,Error,Error,06877,Ridgefield,"JUN 21, 2022"
"90 Poplar Rd Ridgefield, CT 06877","$674,539",SingleFamilyResidence,41.308811,-73.483139,3bd,Error,Error,06877,Ridgefield,"JUN 21, 2022"
"92 Bibbins Ave Fairfield, CT 06825","$550,000",SingleFamilyResidence,41.172348,-73.234573,3bd,Error,Error,06825,Fairfield,"JUN 21, 2022"
"11 Spring Hill Ln Bethel, CT 06801","$530,000",SingleFamilyResidence,41.368778,-73.399353,4bd,Error,Error,06801,Bethel,"JUN 21, 2022"
"208 Wilson St Fairfield, CT 06825","$575,000",SingleFamilyResidence,41.203812,-73.229042,3bd,Error,Error,06825,Fairfield,"JUN 21, 2022"
"134 Mitchell Rd Somers, NY 10589","$625,000",SingleFamilyResidence,41.346531,-73.686317,4bd,Error,Error,10589,Somers,"JUN 21, 2022"
"174 Broad St Hawthorne, NY 10532","$561,000",SingleFamilyResidence,41.102325,-73.805519,3bd,Error,Error,10532,Hawthorne,"JUN 21, 2022"
"37 Deacon Smith Hill Rd Patterson, NY 12563","$630,000",SingleFamilyResidence,41.476231,-73.637177,4bd,Error,Error,12563,Patterson,"JUN 21, 2022"
"31 Red Fox Ln Brewster, NY 10509","$560,000",SingleFamilyResidence,41.378181,-73.579483,4bd,Error,Error,10509,Brewster,"JUN 20, 2022"
"11 Courtney Ln Brewster, NY 10509","$645,000",SingleFamilyResidence,41.467449,-73.58654,4bd,Error,Error,10509,Brewster,"JUN 20, 2022"
"6 The Ln Somers, NY 10589","$530,000",SingleFamilyResidence,41.327446,-73.687111,5bd,Error,Error,10589,Somers,"JUN 17, 2022"
"18 Highclere Ln Valhalla, NY 10595","$600,000",SingleFamilyResidence,41.090328,-73.781616,2bd,Error,Error,10595,Valhalla,"JUN 17, 2022"
"35 Scribner Ave Norwalk, CT 06854","$550,000",SingleFamilyResidence,41.096886,-73.436363,4bd,Error,Error,06854,Norwalk,"JUN 17, 2022"
"9 Donohue Dr Norwalk, CT 06851","$480,000",SingleFamilyResidence,41.147854,-73.423164,4bd,Error,Error,06851,Norwalk,"JUN 17, 2022"
"24 Olympic Dr Danbury, CT 06810","$525,111",SingleFamilyResidence,41.35939,-73.481941,4bd,Error,Error,06810,Danbury,"JUN 17, 2022"
"170 Oscaleta Rd Ridgefield, CT 06877","$680,000",SingleFamilyResidence,41.287926,-73.535751,3bd,Error,Error,06877,Ridgefield,"JUN 17, 2022"
"10 Olean St Norwalk, CT 06854","$510,000",SingleFamilyResidence,41.091354,-73.42186,6bd,Error,Error,06854,Norwalk,"JUN 17, 2022"
"5 Parkwood Dr Brookfield, CT 06804","$690,000",SingleFamilyResidence,41.431206,-73.396591,4bd,Error,Error,06804,Brookfield,"JUN 17, 2022"
"3547 Flanders Dr Yorktown Heights, NY 10598","$565,000",SingleFamilyResidence,41.328541,-73.781517,4bd,Error,Error,10598,Yorktown Heights,"JUN 17, 2022"
"1 Laurie Ln South Salem, NY 10590","$610,000",SingleFamilyResidence,41.260437,-73.555092,3bd,Error,Error,10590,South Salem,"JUN 17, 2022"
"903 Stillson Rd Fairfield, CT 06824","$625,000",SingleFamilyResidence,41.17532,-73.257088,4bd,Error,Error,06824,Fairfield,"JUN 17, 2022"
"1A Sunset Rdg Danbury, CT 06811","$500,000",SingleFamilyResidence,41.397621,-73.508263,3bd,Error,Error,06811,Danbury,"JUN 17, 2022"
"125 Vesper St Fairfield, CT 06825","$565,000",SingleFamilyResidence,41.179813,-73.234329,3bd,Error,Error,06825,Fairfield,"JUN 17, 2022"
"5 Arbor Dr Norwalk, CT 06854","$470,000",SingleFamilyResidence,41.094097,-73.431412,3bd,Error,Error,06854,Norwalk,"JUN 17, 2022"
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error,Error
"3 Millstone Rd Wilton, CT 06897","$617,000",SingleFamilyResidence,41.229527,-73.47908,3bd,Error,Error,06897,Wilton,"JUN 17, 2022"
"138 Fayerweather Ter Bridgeport, CT 06605","$530,000",SingleFamilyResidence,41.153107,-73.226662,3bd,Error,Error,06605,Bridgeport,"JUN 16, 2022"
"8 Wolfpit Ln Wilton, CT 06897","$525,000",SingleFamilyResidence,41.177895,-73.428978,3bd,Error,Error,06897,Wilton,"JUN 16, 2022"
"29 Devils Garden Rd Norwalk, CT 06854","$540,000",SingleFamilyResidence,41.085548,-73.436295,3bd,Error,Error,06854,Norwalk,"JUN 16, 2022"
"45 Riverside Ave Norwalk, CT 06850","$500,000",SingleFamilyResidence,41.120792,-73.423569,3bd,Error,Error,06850,Norwalk,"JUN 16, 2022"
"2 Mary Ann Dr Danbury, CT 06811","$477,000",SingleFamilyResidence,41.439728,-73.498367,4bd,Error,Error,06811,Danbury,"JUN 16, 2022"
