Period,VNQ,UNEMP,Months of Supply,Homes for Sale,Homes for Sale NE,CONST,Consumption,Disposable Income,HPI
2006-09-01,252,4.5,6.7,561,51,573878,9375.4,11252.3,182.799
2006-10-01,267.189986,4.4,7.3,558,54,561444,9393.6,11306,183.199
2006-11-01,279.964993,4.5,6.6,548,54,548971,9400.2,11353.1,183.61
2006-12-01,269.5,4.4,6.5,537,54,545011,9488.3,11406.8,184.14
2007-01-01,293.160007,4.6,7.2,539,55,537571,9538.7,11403.7,184.516
2007-02-01,285.25,4.5,7.9,540,54,531641,9566,11439.6,184.598
2007-03-01,277.724993,4.4,7.9,542,52,527865,9611.7,11475,184.15
2007-04-01,277.375,4.5,7.4,542,52,523666,9643.6,11490.1,183.009
2007-05-01,276.3249895,4.4,7.8,544,52,514131,9685.8,11495.5,181.601
2007-06-01,248.3249895,4.6,8.2,543,51,505936,9706.8,11488.4,180.255
2007-07-01,227.814986,4.7,8.3,538,52,495976,9751.1,11500.4,179.112
2007-08-01,243.1800105,4.6,9.2,538,52,480974,9798.9,11506.2,178.119
2007-09-01,250.1099965,4.7,9.2,527,50,465709,9845.1,11527.1,177.559
2007-10-01,255.3599965,4.7,8.5,518,49,447819,9882.7,11523.6,176.625
2007-11-01,231.1750105,4.7,9.4,508,48,431878,9955.9,11512.3,175.146
2007-12-01,215.1099965,5,9.6,496,48,416486,9972.8,11552.1,174.342
2008-01-01,213.43,5,9.3,488,46,402138,9996.4,11553.4,173.133
2008-02-01,206.6400035,4.9,9.7,475,45,386197,9981.7,11547.6,171.542
2008-03-01,218.3649965,5.1,10.5,465,46,390471,10035.3,11545.3,170.055
2008-04-01,232.2950105,5,10.3,458,44,385328,10070.3,11500.7,168.339
2008-05-01,231.8050105,5.4,10.7,451,44,381911,10132.3,12060.9,166.659
2008-06-01,204.469993,5.6,10.7,435,43,374495,10187.1,11755.3,165.018
2008-07-01,210.840007,5.8,10.5,421,42,364873,10185.1,11574,163.568
2008-08-01,215.844993,6.1,11.3,411,42,352598,10175.7,11506.9,161.989
2008-09-01,212.7999965,6.1,10.9,398,41,340396,10116.4,11531.5,160.309
2008-10-01,145.284993,6.5,11.6,384,39,329304,10034.1,11616.7,158.328
2008-11-01,112.280007,6.8,11.4,369,38,312540,9885.2,11713.8,156.141
2008-12-01,127.5750035,7.3,11.2,352,37,293997,9801.5,11655.4,153.617
2009-01-01,105.2099965,7.8,12.2,340,36,283870,9847.2,11718,151.503
2009-02-01,83.6149965,8.3,10.5,324,35,267938,9824.5,11598.7,150.01
2009-03-01,84.9800035,8.7,11,311,35,254645,9773.2,11593.4,148.658
2009-04-01,111.055,9,10.7,300,34,243958,9772.5,11660.2,147.948
2009-05-01,113.9600035,9.4,9.3,290,33,237188,9791.6,11826.7,147.694
2009-06-01,108.535,9.5,8.5,282,32,237343,9852.4,11610.9,148.088
2009-07-01,120.224993,9.5,7.9,272,30,244141,9886.3,11560.4,148.409
2009-08-01,137.445,9.6,7.5,263,30,250768,10004.1,11538.6,148.275
2009-09-01,145.0750035,9.8,7.8,254,29,254135,9927.8,11573.1,148.022
2009-10-01,138.599993,10,7.4,243,28,254942,9976.7,11538.1,147.847
2009-11-01,147.7000035,9.9,7.6,235,27,255941,9985.7,11571,148.132
2009-12-01,156.590007,9.9,8,232,27,255801,10052.6,11630,147.928
2010-01-01,147.945,9.8,8.1,231,26,254826,10056.1,11644.6,147.395
2010-02-01,156.2050035,9.8,8.3,229,26,255121,10093.4,11655.6,145.632
2010-03-01,170.8350035,9.9,7.1,227,25,253924,10156,11702.1,145.859
2010-04-01,183.0499965,9.9,6.2,216,24,254574,10182.3,11799.8,146.399
2010-05-01,173.284993,9.6,9.3,215,24,252896,10210.8,11887.9,146.389
2010-06-01,162.715007,9.4,8.3,213,24,250518,10231.3,11895,145.716
2010-07-01,178.3250035,9.4,8.9,210,24,244354,10268.1,11910.8,144.987
2010-08-01,176.0499965,9.5,8.8,209,23,238695,10307.1,11949.7,143.91
2010-09-01,182.280007,9.5,7.6,204,22,237834,10327.1,11949.4,143.015
2010-10-01,190.9249965,9.4,8.2,199,22,236512,10386.4,11950.4,142.528
2010-11-01,187.3900035,9.8,8.2,195,22,237468,10433.6,11960.5,142.173
2010-12-01,193.7949965,9.3,7,188,22,239030,10471,12030.1,142.063
2011-01-01,200.094993,9.1,7.3,185,21,240548,10514.3,12084.4,141.527
2011-02-01,209.5100035,9,8.1,181,21,240062,10540.6,12117,140.355
2011-03-01,204.6450035,9,7.2,179,20,241586,10619.7,12083.3,139.987
2011-04-01,216.405007,9.1,6.7,172,19,244598,10652.1,12061.3,140.012
2011-05-01,219.38,9,6.6,168,19,245449,10672.2,12043.2,139.905
2011-06-01,210.349993,9.1,6.6,167,19,247520,10694.8,12087.9,139.862
2011-07-01,213.6400035,9,6.7,165,19,249770,10731.6,12128.6,139.731
2011-08-01,201.6350035,9,6.5,164,19,251877,10750.3,12120.6,139.308
2011-09-01,178.0449965,9,6.3,163,18,250152,10783.2,12104,138.667
2011-10-01,203.4899965,8.8,6,159,18,252821,10802.9,12117,137.951
2011-11-01,195.755,8.6,5.7,156,19,247279,10806.8,12112.6,137.151
2011-12-01,203,8.5,5.3,150,19,247983,10817.8,12227.3,136.673
2012-01-01,215.9500035,8.3,5.3,148,19,251869,10896.8,12311.1,136.605
2012-02-01,213.465007,8.3,4.8,146,18,247503,10987.2,12384.8,136.53
2012-03-01,222.775007,8.2,4.9,144,18,252283,10993.9,12431.1,137.905
2012-04-01,229.1450035,8.2,4.9,143,16,258567,11018.5,12486.5,139.158
2012-05-01,218.82,8.2,4.7,144,16,263797,11006.8,12490.2,140.159
2012-06-01,229.005,8.2,4.8,145,17,269664,10989.8,12482.6,141.032
2012-07-01,233.589993,8.2,4.6,142,16,273587,11016.8,12396.5,141.669
2012-08-01,233.5550105,8.1,4.6,145,16,279216,11056,12364.4,142.279
2012-09-01,227.3950035,7.8,4.5,146,15,286120,11105.3,12453.3,142.909
2012-10-01,225.3299895,7.8,4.9,149,15,294197,11137.4,12538.2,143.603
2012-11-01,224.7349965,7.7,4.6,150,15,296510,11178.4,12702.9,144.588
2012-12-01,230.3000105,7.9,4.5,148,14,299101,11181.2,13011.6,145.505
2013-01-01,238.910007,8,4,148,14,303792,11245.8,12258.9,146.835
2013-02-01,241.814986,7.7,4.1,150,14,309078,11282.1,12224.9,147.78
2013-03-01,246.8549965,7.5,4.2,152,14,312083,11268.9,12262.1,149.963
2013-04-01,263.4799965,7.6,4.4,159,14,316537,11259.3,12299,151.522
2013-05-01,247.7299965,7.5,4.6,162,14,321706,11295.1,12358.6,152.857
2013-06-01,240.5200035,7.5,4.1,161,14,324770,11318.5,12361.7,154.203
2013-07-01,242.689986,7.3,5.5,172,15,328388,11346.8,12350.6,155.611
2013-08-01,225.75,7.2,5.5,177,14,335690,11376.9,12379.6,156.975
2013-09-01,231.4899965,7.2,5.4,185,15,339977,11413.9,12431.5,158.235
2013-10-01,241.9549895,7.2,4.9,187,16,346273,11465.2,12395.1,159.246
2013-11-01,229.25,6.9,5,185,16,353317,11531.3,12426.2,160.075
2013-12-01,225.959993,6.7,5.2,186,16,360754,11558.6,12452.7,160.994
2014-01-01,235.62,6.6,5.1,188,16,368359,11543.7,12513.3,161.945
2014-02-01,247.5550105,6.7,5.3,185,16,363860,11615.4,12579.5,162.531
2014-03-01,247.1700105,6.7,5.6,187,16,369329,11695.2,12648.6,163.095
2014-04-01,255.290007,6.2,5.7,188,16,375347,11737.4,12699,163.402
2014-05-01,261.415007,6.3,5.2,191,16,376671,11778.6,12745,163.668
2014-06-01,261.939986,6.1,5.7,197,17,372569,11838,12797.2,164.06
2014-07-01,262.150007,6.2,6.2,206,17,372572,11879.2,12835.1,164.579
2014-08-01,270.13,6.1,5.4,209,16,372893,11958.8,12896.3,165.221
2014-09-01,251.474993,5.9,5.4,213,17,382053,11964.9,12938.8,165.912
2014-10-01,276.464993,5.7,5.3,213,17,386299,12035.5,12995.3,166.648
2014-11-01,281.995,5.8,5.7,212,17,391521,12058.4,13062.8,167.341
2014-12-01,283.5,5.6,5.1,212,18,401584,12067.6,13150.5,168.057
2015-01-01,302.9250105,5.7,4.8,206,18,405137,12036.5,13224.7,168.665
2015-02-01,291.7950105,5.5,4.5,201,18,410444,12083.1,13271.8,169.145
2015-03-01,295.084993,5.4,5.1,202,19,410615,12132.2,13233.7,169.818
2015-04-01,277.8299895,5.4,4.9,205,20,415495,12170.3,13262.8,170.314
2015-05-01,276.9899965,5.6,5,207,21,422997,12233.6,13284.7,170.894
2015-06-01,261.415007,5.3,5.4,216,21,433819,12270.3,13292.7,171.469
2015-07-01,276.5,5.2,5.2,219,22,439613,12327.5,13324.1,172.141
2015-08-01,259.1049965,5.1,5,220,22,438567,12359.3,13354.9,172.953
2015-09-01,264.3900035,5,5.9,227,23,447202,12356.4,13392,173.845
2015-10-01,279.6149965,5,5.6,228,22,448312,12362.3,13419.8,174.804
2015-11-01,277.8649965,5.1,5.5,232,22,447200,12397.5,13417.7,175.747
2015-12-01,279.0550105,5,5.1,235,24,453227,12432.8,13482,176.549
2016-01-01,269.464993,4.8,5.6,235,24,456059,12452.1,13531.6,177.297
2016-02-01,268.4849965,4.9,5.5,236,24,462677,12526.3,13546.1,177.666
2016-03-01,293.3000105,5,5.5,240,24,471006,12506.8,13547.2,178.194
2016-04-01,286.405007,5.1,5,239,25,468968,12586,13522,178.802
2016-05-01,292.844993,4.8,5.1,238,24,469364,12624.4,13515.1,179.464
2016-06-01,310.344993,4.9,5.3,243,26,474824,12701.7,13521.5,180.107
2016-07-01,323.5749895,4.8,4.5,236,25,476891,12720.6,13567.1,180.866
2016-08-01,311.3950035,4.9,5,242,26,480151,12749.8,13578.9,181.884
2016-09-01,303.589993,5,5.2,248,27,481668,12806.8,13608.3,182.847
2016-10-01,286.160007,4.9,5.2,250,27,495934,12828.1,13627.7,183.754
2016-11-01,281.3649965,4.7,5.2,252,27,504534,12853.6,13657.8,184.736
2016-12-01,288.8549965,4.7,5.4,257,27,511697,12962.9,13685.3,185.682
2017-01-01,288.2950105,4.7,5.3,259,27,510825,13015.1,13742.1,186.79
2017-02-01,298.410007,4.6,5.2,259,26,532441,13034.7,13792.3,187.314
2017-03-01,289.064986,4.4,4.9,263,26,528759,13089.6,13851.3,188.039
2017-04-01,289.7650035,4.4,5.3,262,25,534393,13127.7,13869.6,188.813
2017-05-01,287.665007,4.4,5.2,269,25,537329,13128.7,13962.6,189.707
2017-06-01,291.3050105,4.3,5.4,274,25,537271,13176.8,13963.5,190.583
2017-07-01,294.910007,4.3,6,275,24,541798,13198.3,13999.9,191.53
2017-08-01,294.1400035,4.4,6.2,284,24,540873,13241,14015.8,192.761
2017-09-01,290.814986,4.3,5.5,285,25,542523,13365.1,14030.9,193.806
2017-10-01,287.6999895,4.2,5.5,289,25,536844,13394.8,14062.7,194.775
2017-11-01,295.3649965,4.2,4.8,292,25,560535,13495.7,14078.4,195.847
2017-12-01,290.4300105,4.1,5.3,294,24,563267,13601.8,14111.5,197.027
2018-01-01,278.0749895,4,5.7,294,24,571783,13620.1,14211.4,198.198
2018-02-01,256.724993,4.1,5.5,295,23,578937,13657.2,14250.1,199.192
2018-03-01,264.1450035,4,5.2,293,23,575068,13725,14298.3,200.064
2018-04-01,266.314986,4,5.5,294,22,576621,13809.3,14329.5,200.879
2018-05-01,276.1149965,3.8,5.3,299,23,579548,13872.1,14373.2,201.657
2018-06-01,285.0749895,4,6.2,308,26,570055,13912.9,14416.2,202.424
2018-07-01,286.790007,3.8,6.3,313,27,559371,13962.6,14467,203.068
2018-08-01,294.1750105,3.8,6.6,322,26,548672,14014.5,14509.6,203.841
2018-09-01,282.38,3.7,6.7,326,26,548741,14030.7,14498.8,204.393
2018-10-01,274.12,3.8,7.3,335,27,533269,14119.6,14527.7,205.006
2018-11-01,286.9300105,3.8,6.5,341,27,535057,14187.8,14550.4,205.403
2018-12-01,260.995,3.9,7.3,348,27,516342,14050.6,14719.3,205.791
2019-01-01,291.935014,4,6.6,349,28,519565,14104.4,14714.3,206.24
2019-02-01,293.964993,3.8,6,340,28,519977,14117.9,14742.1,206.721
2019-03-01,304.185014,3.8,5.6,331,28,521651,14244.4,14732.5,207.245
2019-04-01,303.6949895,3.6,5.8,330,28,527291,14329.3,14678,207.943
2019-05-01,304.1149965,3.6,6.5,334,29,532890,14372.2,14673.5,208.597
2019-06-01,305.900007,3.6,5.6,326,28,541719,14425.7,14686.4,209.042
2019-07-01,311.1149965,3.7,6.2,327,29,552029,14487.4,14703.7,209.589
2019-08-01,322.7700035,3.7,5.8,325,28,556709,14536.4,14777.8,210.335
2019-09-01,326.375,3.5,5.5,322,28,559629,14564.7,14807.9,210.96
2019-10-01,330.0500105,3.6,5.5,324,29,561262,14607.9,14821.4,211.584
2019-11-01,325.745,3.6,5.5,325,29,572412,14667.6,14885.9,212.335
2019-12-01,324.7650035,3.6,5.3,327,28,581530,14686.3,14844.1,213.283
2020-01-01,328.755,3.5,5.1,329,27,591497,14769.9,14976.5,214.449
2020-02-01,305.655007,3.5,5.3,326,26,609742,14785.1,15068.8,215.583
2020-03-01,244.474993,4.4,6.3,328,27,617567,13762.2,14844,216.685
2020-04-01,266.3850035,14.7,6.6,321,26,597672,12021.8,17170.7,217.494
2020-05-01,271.005,13.2,5.3,308,25,584171,13058.1,16333,217.738
2020-06-01,274.8549965,11,4.3,299,24,590445,13889.3,16057.3,218.254
2020-07-01,284.8649965,10.2,3.6,290,23,608617,14129.2,16151.9,219.832
2020-08-01,286.125,8.4,3.5,283,22,632725,14270.5,15553.9,222.679
2020-09-01,276.3599965,7.9,3.5,286,22,648272,14481.7,15643.4,225.871
2020-10-01,268.064986,6.9,3.5,284,21,664062,14546,15568.4,229.404
2020-11-01,294,6.7,4,290,23,684497,14467.3,15366.5,232.528
2020-12-01,297.255,6.7,3.8,302,25,704835,14389.5,15393.8,235.475
2021-01-01,297.3599965,6.4,3.6,300,26,731248,14857.9,16988.6,238.695
2021-02-01,307.5450105,6.2,4.5,303,26,729266,14699.6,15548.2,241.853
2021-03-01,321.5100035,6,4.2,305,26,745016,15458.9,19119.5,245.87
2021-04-01,346.780007,6,4.8,315,26,752819,15618.7,16146.9,250.09
2021-05-01,349.5799895,5.8,5.4,327,25,762852,15624.4,15669.5,254.561
2021-06-01,356.2650035,5.9,6.1,350,26,780726,15802,15603.3,259.323
2021-07-01,372.0150035,5.4,6.2,364,28,775917,15814.9,15735.2,263.447
2021-08-01,380.030007,5.2,6.8,380,29,780511,15991.1,15720,267.183
2021-09-01,356.2299965,4.7,6.3,381,29,791074,16088.9,15466.3,270.225
2021-10-01,381.6400035,4.6,7,387,29,795324,16317.8,15444.1,272.976
2021-11-01,373.589993,4.2,6.3,398,30,801584,16409.7,15427.5,276.189
2021-12-01,406.035007,3.9,5.6,398,32,818957,16278.8,15380.1,279.801
