Title,Date,Price,Bedrooms,Link,ZipCode
1 bath Available Now,2020-01-13 14:01,$2000,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bath-available-now/7055343238.html,11212
Brand new 2 bedroom. No fee,2020-01-13 10:24,$2300,2br - ,https://newyork.craigslist.org/mnh/apa/d/new-york-brand-new-2-bedroom-no-fee/7055161776.html,11212
A Magnificent Four-Story Townhouse In The Heart Of Crown Heights,2020-01-12 18:13,$8450,5br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-magnificent-four-story/7054885435.html,11212
Huge spacious Newly Renovated 2 bedroom close to All,2020-01-11 18:22,$1999,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-spacious-newly-renovated/7054374706.html,11212
A magnificent four-story townhouse in the heart of the beautiful Crown,2020-01-11 11:23,$8450,5br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-magnificent-four-story/7054066843.html,11212
Gorgeous 1BR By Prospect Park & 2/3/4/5 Trains & Franklin Ave,2020-01-10 16:51,$1950,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-1br-by-prospect-park/7053694502.html,11212
A magnificent four-story townhouse in the heart of the beautiful Crown,2020-01-09 20:05,$8450,5br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-magnificent-four-story/7053156250.html,11212
BEST DEAL 1BR $1150,2020-01-09 16:06,$1150,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-best-deal-1br-1150/7053011097.html,11212
LARGE NEWLY RENOVATED 3BR APT/ Absentee landlord,2020-01-09 15:45,$2300,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-newly-renovated-3br-apt/7052995581.html,11212
INCREDIBLY STUNNING BRAND NEW UNIT IN AWESOME LOCATION!!!!,2020-02-08 10:30,$2595,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-incredibly-stunning-brand-new/7071366613.html,11213
"Beautiful Newly Renovated, Spacious Sunny Floor Thru Apartment",2020-02-08 08:12,$2250,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-newly-renovated/7071374290.html,11213
Lovely sun-filled spacious 3 bed/1 bath apt across from Brower Park!,2020-02-08 00:19,$2800,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-lovely-sun-filled-spacious-3/7071308247.html,11213
NO FEE!! ZERO FEE STUNNING 4BR UNIT..2 FULL BATHROOM,2020-02-07 19:02,$3200,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-zero-fee-stunning-4br/7071186886.html,11213
Beatifull block! Nice 4 br 2 ba apartment exposed brick walls,2020-02-07 17:07,$3999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beatifull-block-nice-4-br-2-ba/7071112724.html,11213
Heart of Crown Heights Studio,2020-02-07 13:51,$1950,,https://newyork.craigslist.org/brk/apa/d/brooklyn-heart-of-crown-heights-studio/7070956322.html,11213
Wonderful 4 Bedroom 2 Bath Apartment,2020-02-07 12:02,$3200,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-wonderful-4-bedroom-2-bath/7070855775.html,11213
Spacious Bed Stuy Apartment! **NO FEE**,2020-02-06 19:23,$3890,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-bed-stuy-apartment-no/7070527694.html,11213
Charming 1 br apt,2020-02-06 16:00,$1599,,https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-1-br-apt/7070399151.html,11213
Unique two bed two bath duplex with semi private yard!,2020-02-06 14:00,$2500,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-unique-two-bed-two-bath-duplex/7070305931.html,11213
Beautiful 3BR/2BA With W/D In-Unit In Crown Heights For Amazing Price!,2020-02-06 13:47,$2999,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-3br-2ba-with-d-in/7070295513.html,11213
Wheweeee! Crown Heights' Finest #211,2020-02-06 12:33,$2585,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-wheweeee-crown-heights-finest/7070234297.html,11213
EXTRA LARGE 3 Bedroom w/ Separate Dining Room in Crown Heights,2020-02-06 12:12,$2400,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-extra-large-3-bedroom-separate/7070216190.html,11213
1 bedroom $1499,2020-02-06 10:30,$1499,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bedroom-1499/7070135780.html,11213
Stunning 4 bedroom in Crown Heights - NO Fee!,2020-02-05 22:34,$3995,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-4-bedroom-in-crown/7069968550.html,11213
Great size 4 br 2 ba apartment exposed brick walls,2020-02-05 17:43,$3999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-great-size-4-br-2-ba-apartment/7069830060.html,11213
Beautiful Huge 3 bed apt overlooking Brower Park! Prime Crown Heights!,2020-02-05 17:42,$2639,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-huge-3-bed-apt/7069829285.html,11213
Humongous 3Bed with Separate Living Room and Dinning Room! Prime Crown,2020-02-05 16:55,$2400,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-humongous-3bed-with-separate/7069797298.html,11213
Humongous 3Bed 1bath with Separate Living Room and Dinning Room!,2020-02-05 16:28,$2400,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-humongous-3bed-1bath-with/7069778953.html,11213
Humongous 3Bed 1bath with Separate Living Room and Dinning Room!,2020-02-05 15:07,$2403,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-humongous-3bed-1bath-with/7069718684.html,11213
1 bed 1 bath in NEW building! Laundry room! Utica 3/4 and A/C!,2020-02-05 15:05,$1950,1br - 800ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bed-1-bath-in-new-building/7069717058.html,11213
2 bedroom Utica ave,2020-02-05 13:36,$2000,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-2-bedroom-utica-ave/7069646061.html,11213
FIRST FLOOR 1BR on 54th and Snyder,2020-02-05 10:14,$1700,1br - 500ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-first-floor-1br-on-54th-and/7069482270.html,11213
TILDEN and EAST 54th st,2020-02-05 09:56,$1900,600ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-tilden-and-east-54th-st/7069471192.html,11213
NO FEE!! ZERO FEE STUNNING 4BR UNIT..2 FULL BATHROOM,2020-02-04 19:51,$3200,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-zero-fee-stunning-4br/7069258145.html,11213
Amazing opportunity to lease a 1.5 bedroom,2020-02-04 17:44,$1695,1br - 700ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-opportunity-to-lease/7069184661.html,11213
Renovated 3 Bedrooms Great Location,2020-02-04 14:55,$2800,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-3-bedrooms-great/7069061463.html,11213
Elevator Bldg - 1bed - gym/laundry/roofdeck/yoga etc.,2020-02-04 14:37,$2435,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-elevator-bldg-1bed-gym-laundry/7069047125.html,11213
NO FEE-MASSSIVVEE 3 BED/3 BATH--Crown Heights,2020-02-03 20:21,$4000,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-masssivvee-3-bed-3-bath/7068616667.html,11213
Spacious Crown Heights Apartment,2020-02-03 18:15,$2500,,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-crown-heights/7068547224.html,11213
Unique two bed two bath duplex with semi private yard!,2020-02-03 13:18,$2525,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-unique-two-bed-two-bath-duplex/7068323994.html,11213
CROWN HEIGHTS! 1 bed 1 bath near Utica A/C and Utica 3/4 subway,2020-02-03 12:57,$1695,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-crown-heights-1-bed-1-bath/7068306444.html,11213
Amazing opportunity to lease a 1.5 bedroom,2020-02-03 12:34,$1695,1br - 700ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-opportunity-to-lease/7068285856.html,11213
3 bedroom/ no fee / roof deck,2020-02-03 12:29,$2350,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-3-bedroom-no-fee-roof-deck/7068281461.html,11213
Internationals welcome! Gorgeous rent-stabilized 2 bedroom apartment!,2020-02-03 11:47,$2895,2br - 800ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-internationals-welcome/7068245721.html,11213
A beautiful brand new apartment located centrally in Crown Heights,2020-02-03 10:34,$2585,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-brand-new-apartment/7068188473.html,11213
High end brand new apartment with a big living area,2020-02-03 10:20,$2795,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-high-end-brand-new-apartment/7068178743.html,11213
Heart of Crown Heights Studio,2020-02-03 10:15,$1950,,https://newyork.craigslist.org/brk/apa/d/brooklyn-heart-of-crown-heights-studio/7068174870.html,11213
**HOT DEAL**HUGE DUPLEX APARTMENT**PRIVATE BACKYARD**NO FEES**,2020-02-03 10:14,$2799,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-hot-dealhuge-duplex/7068174661.html,11213
**HOT DEAL**HUGE APARTMENT**GREAT PRICE**SUPER LOCATION**NO FEES**,2020-02-03 09:58,$2995,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-hot-dealhuge-apartmentgreat/7068162857.html,11213
High end brand new apartment with a big living area,2020-02-03 09:19,$2795,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-high-end-brand-new-apartment/7068139845.html,11213
HUGE 2 BEDROOM IN BRAND NEW LUXURY DEVELOPMENT,2020-02-03 05:40,$2400,2br - 1200ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-2-bedroom-in-brand-new/7068081265.html,11213
Amazing 2 bed Apts in Upscale Building,2020-02-02 19:00,$2400,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-2-bed-apts-in-upscale/7067952345.html,11213
2/1 Internationals welcome! One bedroom penthouse available ASAP!,2020-02-02 14:58,$2400,1br - 700ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-2-1-internationals-welcome-one/7067830225.html,11213
No Brokers Fee -Huge Apt -2.5 Bedrooms -Dishwasher-Gut Renovared,2020-02-02 11:51,$2000,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-brokers-fee-huge-apt-25/7067712792.html,11213
🟢BEDSTUY🟢X LARGE 3BR/2BATH /LAUNDRY BACKYARD @A/C TRAIN NO FEE,2020-02-02 10:45,$2799,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-bedstuyx-large-3br-2bath/7067676543.html,11213
Beatifull block! Nice 4 br 2 ba apartment exposed brick walls,2020-02-01 20:47,$3999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beatifull-block-nice-4-br-2-ba/7067501861.html,11213
"Brand New 1Bd,1Bath For Great Price🍂🍂🍂🍂",2020-02-01 17:46,$1950,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-1bd1bath-for-great/7067416583.html,11213
"GORGEOUS** 2Bd/1Bth Great Price, Great Location, Great Opportunity!",2020-02-01 17:44,$2000,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-2bd-1bth-great-price/7067415687.html,11213
MODERN APARTMENT IN A NEW DEVELOPMENT WITH CONDO FINISHES ALL AMEN,2020-02-01 17:34,$2740,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-modern-apartment-in-new/7067409586.html,11213
Prime Bed Stuy✓ True 3 Bedroom✓ Heat/Hot Water Included✓ No Fee✓,2020-02-01 16:47,$2704,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-prime-bed-stuy-true-3-bedroom/7067380425.html,11213
Bright 4BR in Crown Heights_close to transportation,2020-02-01 10:51,$3000,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-4br-in-crown/7067107840.html,11213
Beautiful 3 beds 2 baths. MUST SEE!,2020-02-01 03:34,$2995,,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-3-beds-2-baths-must/7066989220.html,11213
Amazing opportunity to lease a 1.5 bedroom,2020-01-31 20:05,$1776,1br - 700ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-opportunity-to-lease/7066876819.html,11213
TWO BEDROOMS FOR RENT! AVAILABLE FOR AN ASAP MOVE IN!,2020-01-31 19:54,$2050,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-two-bedrooms-for-rent/7066871722.html,11213
NO FEE New 3 Beds 1 bath in Crown Heights,2020-01-31 16:33,$2639,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-new-3-beds-1-bath-in/7066750680.html,11213
Beatifull block! Nice 4 br 2 ba apartment exposed brick walls,2020-01-31 16:32,$3999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beatifull-block-nice-4-br-2-ba/7066749911.html,11213
"🌈Amazing Renovated 4Br/2Bath Triplex, Private B/Y, Private Parking 🌈",2020-01-31 14:54,$3850,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-renovated-4br-2bath/7066677945.html,11213
🌈 Bright And Spacious 4BR in Crown Heights Close To Transportation 🌈,2020-01-31 14:42,$3000,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-and-spacious-4br-in/7066668895.html,11213
No Fee | Rent Stabilized | Park Views | Luxury Building,2020-01-31 14:16,$2895,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-rent-stabilized-park/7066648759.html,11213
"Stunning 4 Bed, 2 Bath Duplex, Backyard Deck/Roof Top. W/D In-Unit",2020-01-31 13:37,$2995,,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-4-bed-2-bath-duplex/7066618099.html,11213
Amazing opportunity to lease a 1.5 bedroom,2020-01-31 10:48,$1776,1br - 700ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-opportunity-to-lease/7066482114.html,11213
BRAND NEW ONE OF A KIND 2 BR APARTMENT HEAT HOT WATER INCLUDED,2020-01-31 10:01,$1695,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-one-of-kind-2-br/7066449971.html,11213
"Beautiful Newly Renovated, Spacious Sunny Floor Thru Apartment",2020-01-31 08:08,$2250,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-newly-renovated/7066396188.html,11213
"Brand New 1Bd,1Bath For Great Price🍂🍂🍂🍂",2020-01-30 21:49,$1950,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-1bd1bath-for-great/7066287883.html,11213
"🔴Amazing new renovated 4Br/2Bath Triplex, Private B/Y, Private Park🔴",2020-01-30 18:17,$3750,4br - 2250ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-amazing-new-renovated-4br/7066187585.html,11213
Sublime Newly gut-renovated 2 bed apt in Crown Heights,2020-01-30 17:59,$2700,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-sublime-newly-gut-renovated-2/7066176983.html,11213
"Spacious, Renovated 3 Bedrooms in Great Location",2020-01-30 16:41,$2800,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-renovated-3-bedrooms/7066126146.html,11213
RENOVATED 3 BEDROOM WITH BACKYARD,2020-01-30 15:24,$2200,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-renovated-3-bedroom-with/7066071711.html,11213
"NO FEE! Beautiful 4 Bed 2 Bathroom! Apt has Central A/C, Dishwasher!",2020-01-30 14:34,$3995,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-beautiful-4-bed-2/7066034812.html,11213
NO FEE! Renovated 4BR/2BA w Backyard Deck+Rooftop Close 2/3/4/C Trains,2020-01-30 13:08,$2995,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-renovated-4br-2ba/7065965686.html,11213
"Brand New 1Bd,1Bath For Great Price🍂🍂🍂🍂",2020-01-30 12:29,$1950,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-1bd1bath-for-great/7065934455.html,11213
Beatifull block! Nice 4 br 2 ba apartment exposed brick walls,2020-01-29 21:51,$3999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beatifull-block-nice-4-br-2-ba/7065661672.html,11213
Stunning 4 bedroom in Crown Heights - NO Fee!,2020-01-29 18:49,$3995,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-4-bedroom-in-crown/7065578737.html,11213
NO FEE!! ZERO FEE STUNNING 4BR UNIT..2 FULL BATHROOM,2020-01-29 18:31,$3200,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-zero-fee-stunning-4br/7065568457.html,11213
2 beautiful spacious bedrooms with a designer bath!,2020-01-29 16:37,$2585,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-2-beautiful-spacious-bedrooms/7065495599.html,11213
Nice large 4 bedroom. No fee,2020-01-29 13:01,$3025,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-nice-large-4-bedroom-no-fee/7065329210.html,11213
Unique two bed two bath duplex with semi private yard!,2020-01-29 12:55,$2525,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-unique-two-bed-two-bath-duplex/7065324679.html,11213
!^INSANELY HUGE^!*RENOVATED 1 BED*AMAZING LOCATION!SUNNY!*EASTERN PKWY,2020-01-29 12:12,$1650,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-insanely-hugerenovated-1/7065287960.html,11213
"Brand New 1Bd,1Bath For Great Price🍂🍂🍂🍂",2020-01-28 23:10,$1975,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-1bd1bath-for-great/7065051574.html,11213
"GORGEOUS** 2Bd/1Bth Great Price, Great Location, Great Opportunity!",2020-01-28 23:07,$2000,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-2bd-1bth-great-price/7065050710.html,11213
Gorgeous renovated large 3 bed/2 full bath w/Private Backyard! No Fee!,2020-01-28 22:27,$2799,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-renovated-large-3-bed/7065038355.html,11213
Stunning 4 Bed 2 Bath!Triplex!Laundry!Private Yard!Private Parking!Gem,2020-01-28 19:18,$3699,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-4-bed-2/7064956307.html,11213
SUPER Spacious 4 Bed with Modern Kitchen Utilities Included,2020-01-28 17:50,$2999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-super-spacious-4-bed-with/7064905579.html,11213
three bedroom no fee roomates welcome EIK DW,2020-01-28 17:04,$2172,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-three-bedroom-no-fee-roomates/7064875115.html,11213
No Brokers Fee• 2 Large Bedrooms with Extra Room •Dishwasher •,2020-01-28 15:40,$2000,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-brokers-fee-2-large/7064813542.html,11213
😍1 bed w/ great amenities (ELEVATOR too) in bed-stuy😍,2020-01-28 14:38,$2599,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-1-bed-great-amenities-elevator/7064767284.html,11213
HOT HOT HOT!!!!!! NO FEE!!! GORGEOUS STUDIO IN CROWN HEIGHTS!!!!,2020-01-28 14:08,$1795,,https://newyork.craigslist.org/brk/apa/d/brooklyn-hot-hot-hot-no-fee-gorgeous/7064742994.html,11213
3/1 RARE two bed with private 400sqft roof deck looking over the park!,2020-01-28 13:35,$3150,2br - 1000ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-3-1-rare-two-bed-with-private/7064716882.html,11213
Studio Apartment in BedStuy,2020-01-28 13:29,$1395,,https://newyork.craigslist.org/brk/apa/d/brooklyn-studio-apartment-in-bedstuy/7064711571.html,11213
!^INSANELY HUGE^!*RENOVATED 1 BED*AMAZING LOCATION!SUNNY!*EASTERN PKWY,2020-01-28 12:48,$1650,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-insanely-hugerenovated-1/7064676158.html,11213
2/1 Rent-stabilized pet-friendly penthouse in Crown Heights,2020-01-27 21:38,$2400,1br - 650ft2 - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-2-1-rent-stabilized-pet/7064374713.html,11213
HIIYOOOO!!! AWESOME 1BR AVAILABLE in BEDSTUY ⚡️⚡️,2020-01-27 20:48,$1899,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-hiiyoooo-awesome-1br-available/7064353966.html,11213
Beatifull block! Nice 4 br 2 ba apartment exposed brick walls,2020-01-27 19:13,$4099,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-beatifull-block-nice-4-br-2-ba/7064306141.html,11213
Gorgeous fully furnished 3 bed/2 full bath in-unit laundry short-term!,2020-01-27 18:34,$3600,3br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-gorgeous-fully-furnished-3-bed/7064284898.html,11213
Brand new gorgeous 1br in luxury building - no fee,2020-01-27 18:12,$2740,1br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-gorgeous-1br-in/7064271642.html,11213
NO FEE! Newly Renovated 3 BR in Crown Heights Townhouse,2020-01-27 16:25,$2900,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-newly-renovated-3-br-in/7064198264.html,11213
Spacious 4 bedroom in Crown Heights - Huge Bedrooms - No Fee!,2020-01-27 15:46,$2999,4br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-4-bedroom-in-crown/7064168828.html,11213
NO FEE! Stunning New 2 Bed w Dishwasher/Laundry/Garden,2020-01-27 14:48,$2500,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-no-fee-stunning-new-2-bed/7064124580.html,11213
Feb. 1st Move In * Amazing 2 Bedroom*Heat and Hot Water* Showing Now,2020-01-27 14:15,$1950,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-feb-1st-move-in-amazing-2/7064097824.html,11213
Large 2.5 Bedrooms Apartment • No Brokers Fee • Dishwasher•,2020-01-27 11:37,$2000,2br - ,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-25-bedrooms-apartment-no/7063961250.html,11213
